geo_id,households_number_of_apartments_2005,households_number_of_apartments_1985_2004,households_number_of_apartments_1965_1984,households_number_of_apartments_1945_1964,households_number_of_apartments_1945,households_number_of_terraced_2005,households_number_of_terraced_1985_2004,households_number_of_terraced_1965_1984,households_number_of_terraced_1945_1964,households_number_of_terraced_1945,households_number_of_semi_detached_2005,households_number_of_semi_detached_1985_2004,households_number_of_semi_detached_1965_1984,households_number_of_semi_detached_1945_1964,households_number_of_semi_detached_1945,households_number_of_detached_2005,households_number_of_detached_1985_2004,households_number_of_detached_1965_1984,households_number_of_detached_1945_1964,households_number_of_detached_1945,input_households_insulation_level_apartments_2005,input_households_insulation_level_apartments_1985_2004,input_households_insulation_level_apartments_1965_1984,input_households_insulation_level_apartments_1945_1964,input_households_insulation_level_apartments_1945,input_households_insulation_level_terraced_2005,input_households_insulation_level_terraced_1985_2004,input_households_insulation_level_terraced_1965_1984,input_households_insulation_level_terraced_1945_1964,input_households_insulation_level_terraced_1945,input_households_insulation_level_semi_detached_2005,input_households_insulation_level_semi_detached_1985_2004,input_households_insulation_level_semi_detached_1965_1984,input_households_insulation_level_semi_detached_1945_1964,input_households_insulation_level_semi_detached_1945,input_households_insulation_level_detached_2005,input_households_insulation_level_detached_1985_2004,input_households_insulation_level_detached_1965_1984,input_households_insulation_level_detached_1945_1964,input_households_insulation_level_detached_1945,input_households_share_of_useful_demand_for_space_heating_apartments_2005,input_households_share_of_useful_demand_for_space_heating_apartments_1985_2004,input_households_share_of_useful_demand_for_space_heating_apartments_1965_1984,input_households_share_of_useful_demand_for_space_heating_apartments_1945_1964,input_households_share_of_useful_demand_for_space_heating_apartments_1945,input_households_share_of_useful_demand_for_space_heating_terraced_2005,input_households_share_of_useful_demand_for_space_heating_terraced_1985_2004,input_households_share_of_useful_demand_for_space_heating_terraced_1965_1984,input_households_share_of_useful_demand_for_space_heating_terraced_1945_1964,input_households_share_of_useful_demand_for_space_heating_terraced_1945,input_households_share_of_useful_demand_for_space_heating_semi_detached_2005,input_households_share_of_useful_demand_for_space_heating_semi_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_semi_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_semi_detached_1945,input_households_share_of_useful_demand_for_space_heating_detached_2005,input_households_share_of_useful_demand_for_space_heating_detached_1985_2004,input_households_share_of_useful_demand_for_space_heating_detached_1965_1984,input_households_share_of_useful_demand_for_space_heating_detached_1945_1964,input_households_share_of_useful_demand_for_space_heating_detached_1945,input_buildings_insulation_level,number_of_buildings
GM0294,515,733,816,121,662,162,430,1444,762,435,216,624,1101,866,1391,248,418,390,339,1320,109.1286774,138.7732649,260.0415122,215.8898814,275.9404341,110.9667894,161.8415662,204.3596951,245.830388,284.4482637,116.0186357,160.6357659,216.4728481,270.2910778,303.9711306,118.8013544,151.1549865,232.121679,290.9617979,307.8240009,4.133700164,5.257949561,6.451424777,0.876403368,5.308410947,1.151403598,3.02958621,11.58534901,5.628613611,3.287765979,1.798643518,4.686626812,8.445590819,6.594787498,10.60744991,2.135809884,3.179906301,2.981764532,2.624053465,10.23476004,250.1001198,1719
GM0296,1048,635,1309,86,108,557,2388,3103,377,43,474,1582,2271,654,336,291,836,915,383,599,108.6404128,136.2347421,170.5551116,141.2190014,241.121086,116.0188836,159.4935434,162.6178564,199.4157167,281.5023443,116.2388656,162.7981046,179.5980384,205.4489175,301.4328192,117.5835457,147.664859,216.0525125,270.8768199,310.4257382,6.150782871,3.559960844,7.084406422,0.524628295,0.608539365,3.047907399,13.28639186,16.73120598,2.125788794,0.25733284,2.7412478,9.126978889,12.45110224,3.412077831,1.846877234,1.672232717,4.716791454,5.134582157,2.101431101,3.4197339,225.5478386,1664
GM0297,649,479,95,41,159,642,935,1444,249,458,540,844,1118,436,331,352,774,608,488,933,122.390065,168.9598416,175.9483365,241.0859721,263.858248,117.0917994,157.0220493,186.5955826,238.5461794,286.5188032,118.6357552,158.437405,204.7178837,263.4156963,293.1824403,120.2432544,161.111619,228.8201535,290.143307,295.3595864,5.505041875,3.856524859,0.723833451,0.354681219,1.510170364,5.587649203,7.478284643,11.99144938,2.141332771,3.853696648,4.66174008,7.238122398,9.683346433,3.997416901,2.793494643,3.246102666,6.883040515,5.360308181,4.392329421,8.741434351,221.2865572,1145
GM0299,619,1400,1091,119,240,523,1284,3838,948,174,526,1368,2787,1240,609,255,1162,650,342,811,120.560755,140.385258,190.244251,203.255237,237.0358675,115.2722534,145.9626595,196.1911499,230.062533,286.5960911,116.5212298,155.5720951,212.0211335,248.3399532,313.0040715,113.5042854,147.3661007,224.6606609,288.5105995,298.4662346,3.03344739,7.161953143,5.451741217,0.647698034,1.173127249,2.819738701,6.377644017,19.28148873,4.544721779,0.933420825,2.91916332,6.893764,13.90080294,6.229036883,2.931550401,1.38235792,5.372764113,3.232561525,1.692741347,4.020276467,232.7354395,1864
GM0301,1229,1190,2570,875,991,620,2071,2741,980,2098,418,1217,1492,940,1361,137,461,215,252,394,125.5096848,153.6233559,161.3992385,214.6337842,265.2835551,114.3907544,146.4070638,188.2175811,161.2552935,258.3172562,117.2975439,152.5549371,194.4211696,206.2098265,284.4728504,119.5310113,148.9057613,221.7143176,272.4634437,319.3469285,5.902221035,5.694679543,11.17360454,3.651617012,4.447908392,2.831549806,10.6913858,12.18341261,3.78150368,9.308025767,1.812517671,5.960257679,6.543316363,3.567066857,5.969027357,0.601813529,2.219637515,0.937628613,1.014340583,1.708485653,260.4581177,2565
GM0302,520,524,370,117,141,296,593,1601,303,37,452,784,1400,670,348,343,689,717,504,561,100.5712985,140.799119,202.7818648,176.4904238,265.2858382,114.8621667,155.0955722,168.7754248,202.2984299,344.3407821,119.4271593,168.6212845,186.7933183,230.0331444,290.8975504,120.8509467,164.5125173,219.7021084,285.9359015,303.71194,4.928675217,4.657381536,3.506611979,1.108872066,1.235332164,3.027960385,4.875263345,14.0091392,3.024815597,0.352513404,4.344660843,6.975932219,12.02138555,6.730292084,3.410906422,3.236506878,6.134936663,6.003177474,5.027575086,5.388061889,255.7038367,2324
GM0303,995,857,308,43,0,958,2281,2971,527,0,810,2084,1520,265,0,653,1970,933,220,0,126.5643213,174.7551168,199.882484,180.9554245,0,112.8415053,158.4007176,195.459442,187.1749272,0,115.126156,162.8855822,206.0893203,201.1720252,0,116.8996579,153.9526423,215.5372745,283.8838382,0,5.914369219,4.627933567,1.733784017,0.330335628,0,6.1840779,12.84389834,16.69958234,3.1613998,0,5.441458911,11.60854344,8.603175,1.520590518,0,4.214543192,10.93026061,5.000120046,1.185927475,0,233.9734661,2093
GM0307,4536,7322,7389,3875,1195,3749,11684,4727,2125,4822,2227,4256,2010,1318,4183,626,669,319,343,632,119.0081138,161.1669763,189.7996568,202.3812187,241.6974901,114.490808,158.2144284,174.9543877,179.1249427,237.5198425,116.5760787,161.2182437,193.4420664,223.2568781,274.921959,116.489604,151.5157818,205.2661101,259.6218036,308.8185812,6.451548259,10.80718109,10.75477839,5.770243479,1.724199262,5.360529517,17.36952211,6.968530594,3.162214288,7.170256609,3.161652845,6.30225773,3.030410451,1.969594877,6.171302204,0.881821849,1.001200176,0.49031175,0.518084731,0.934359788,228.0650486,8525
GM0308,642,739,1512,582,292,151,497,1156,851,547,107,331,798,784,1499,65,97,151,178,708,115.6265421,162.6160377,180.2352854,212.9789362,245.8929051,105.5735178,143.8705155,203.3401416,235.3123178,276.0301781,114.0131763,151.3328306,209.402882,254.4688981,298.2316319,123.9344715,153.0055978,227.5900283,274.5914566,306.6674151,5.621715752,6.875599005,11.88392472,4.963962344,2.523114085,1.331647432,4.246801208,10.38984485,7.393754748,4.474449196,0.953859065,2.912984589,7.172940864,6.744771385,12.22910531,0.595103562,0.830332042,1.240448289,1.535924182,6.079717381,273.43641,1820
GM0310,593,1128,2674,1971,395,193,751,2266,1014,927,153,594,1078,1197,2084,174,287,389,371,1333,120.5289825,163.1395972,181.5002446,226.9831747,215.898116,130.2444012,168.395788,183.84924,245.3555629,277.4507755,122.3940778,168.7646125,207.9060735,262.4233204,294.5070525,115.2679137,161.5336039,207.1619788,272.1369445,301.1947862,3.133575436,5.90630904,13.65313496,9.025981594,1.784517719,0.908881591,4.034794936,11.40182407,5.187041583,4.874097508,0.764942821,3.097112671,5.416736332,6.257369755,11.26506932,0.89934597,1.509147606,2.005025711,1.936725861,6.938365522,286.25832,2799
GM0312,261,424,251,22,45,157,567,1312,354,69,137,439,791,645,241,107,91,158,118,200,117.5166946,153.3075102,163.3235523,275.6692076,217.4419474,114.2137401,163.6377647,193.0585686,227.2882758,307.9188632,116.4218435,156.6275856,203.5640871,237.6201483,315.6475848,117.8802845,145.7693589,206.7720365,241.9061162,238.3971526,3.453456136,7.459123285,4.135351458,0.318404964,0.780147455,2.343887569,9.066289991,20.16924887,5.61364199,1.129601794,2.17919828,6.708919337,12.39827076,9.726153016,3.880151113,1.702186301,1.505469369,2.449455445,1.861431317,3.119611551,230.5300756,686
GM0313,910,477,114,35,157,478,711,1886,292,218,227,457,1157,432,225,105,208,156,70,120,115.3737228,142.7247932,176.0271896,272.1593924,298.4876256,116.166159,165.3359797,186.9851923,222.4099812,280.1336836,118.4408942,162.9827963,203.5428124,245.4496919,311.688422,111.3622257,164.8056881,215.9527163,283.0363516,278.3441978,9.49084583,5.459110378,1.477446301,0.471086296,2.063310597,5.488056371,8.456902759,22.64851939,3.821325344,2.68078184,2.63434494,5.318112241,14.25401926,5.688828632,2.742567905,1.235266993,2.293320907,1.68834317,0.774240403,1.313570446,240.0140138,859
GM0317,225,96,89,0,6,197,645,1025,37,5,175,414,599,53,36,76,182,95,18,29,122.3098584,160.3119572,162.4561258,0,,118.7095211,165.136332,194.8597818,237.7290858,370.75,123.0127064,173.743532,214.9375539,269.3701262,242.8501105,125.9064357,166.5058668,219.8972706,305.1964633,317.0999637,5.904770654,2.448577824,2.429184664,0,0.167521178,4.925288489,16.28457676,25.59967287,0.725648666,0.133583148,4.209910543,10.5224479,15.09355605,1.107323916,0.807750629,1.866719232,4.309045314,2.221856474,0.451465109,0.791100581,186.1547242,310
GM0321,1443,2280,1057,12,54,1385,5360,2682,148,46,731,2374,1089,208,166,222,513,320,137,319,118.0327535,159.0185092,203.0341826,215.9877301,247.6833747,115.514625,149.2517027,194.5870147,258.4951905,317.1977629,117.3953321,155.3772638,202.0247928,264.5469437,305.9806364,117.3315381,142.7851678,224.0668016,291.40294,264.8366086,7.357379798,11.29300976,4.911899451,0.062547195,0.304932863,7.302660176,26.47336314,11.67531328,0.690122802,0.286012153,4.000121817,11.55246932,4.720148391,0.994419675,0.940959802,1.167335639,2.571638798,1.459108395,0.737014853,1.499542699,176.0911532,1450
GM0327,590,1099,772,17,42,492,1131,4094,48,12,435,407,1799,516,189,284,283,380,181,303,99.55700586,134.5883698,143.5698522,293.3930622,219.0457568,104.6130546,144.9866874,176.7623938,221.6787408,387.9032258,120.0493144,153.9359785,189.1892486,253.0606837,300.6670084,122.2764831,156.0451996,203.1740004,281.6297625,305.7606667,5.341170411,8.425962609,6.091426381,0.131232289,0.308464991,3.941704894,8.369188789,30.54819768,0.375869927,0.094094527,3.769167771,2.981875674,13.49149643,3.932760933,1.347184004,2.361957597,2.123966947,2.814074785,1.343057586,2.207145777,195.4732366,1258
GM0331,244,185,204,39,153,156,629,841,132,73,178,438,514,258,264,193,272,344,180,502,124.1580591,145.824851,209.4901637,233.732026,295.8960625,113.2872397,156.5376195,191.5722223,215.3432475,306.316431,115.4656227,160.4838083,209.9523181,253.3764217,302.2175596,114.6935885,159.7607228,219.3021272,281.7704984,335.5254129,3.378627587,3.21571284,3.411664622,0.667273967,2.41105485,2.21362034,11.566252,15.20523737,2.392011061,1.393069358,2.460818911,7.882414104,9.430938233,4.342771515,4.561983594,2.847162244,4.596132675,6.008616504,3.167338837,8.847299396,264.4693776,522
GM0335,223,344,154,33,81,136,602,1410,205,171,82,358,663,197,188,64,290,212,100,225,120.2102269,184.9423452,200.907613,240.4147465,256.3147964,120.1339893,150.3459686,194.1369924,220.5775841,299.1322228,114.3285002,155.5551102,212.1385526,222.9691965,299.0653652,111.0323984,158.1817872,215.3384603,308.0598598,285.6851841,3.423542535,6.02588929,2.586544638,0.46737798,1.273052155,1.892186555,11.00047032,24.70394408,3.577262531,2.996932145,1.298111133,6.449788074,11.86547256,3.440419944,3.460149213,0.756912023,5.301984054,3.81719289,1.765208602,3.897559274,271.7352547,569
GM0339,129,46,29,31,24,253,200,243,42,8,150,165,209,59,68,114,119,94,41,103,117.5359198,166.1188013,120.8126888,133.5313351,103.8290855,116.447354,161.7668118,209.9323581,230.41875,403,115.8154956,170.8609963,210.4807037,237.645508,283.7889811,119.4936575,161.3548305,229.6081793,341.1873735,313.7373246,5.696298905,2.128677065,1.3097538,1.454290663,1.211373564,11.87141334,9.065851709,11.07521151,1.788450374,0.199972401,8.184117362,7.865184579,9.594392683,2.668400316,3.225848663,5.775526519,5.852374925,4.426872674,1.89920249,4.706786452,233.9085023,185
GM0340,342,404,338,422,138,289,595,798,504,220,276,402,613,636,513,252,331,308,410,426,90.62842981,157.7513051,141.7074509,259.0820619,230.0255971,116.3729772,146.9007366,201.2726743,164.548279,258.5156201,115.6925861,161.6203491,217.3886145,212.4947115,278.7162234,116.9009385,153.9131446,231.9715558,292.1565973,296.894772,3.840497004,5.041911518,4.081962678,5.545491237,1.525106149,2.618500942,6.94727515,10.05843022,6.50527302,2.891573994,2.864243301,4.394494837,7.783333757,8.161319251,6.878213361,2.774633374,3.365918559,3.896361209,5.02550642,5.799954026,250.0052964,837
GM0342,551,1232,3632,1425,253,229,1786,2387,1023,301,239,1117,1316,860,1886,201,474,382,253,1165,114.2368383,163.7009907,192.656916,239.233508,267.2581398,116.7851557,155.9298699,192.2034579,205.5190799,281.5544939,119.3163627,158.2219809,201.1696931,234.5871116,292.524578,120.1545728,158.984885,213.7012017,278.2856861,309.2224194,2.83910055,6.587052082,17.18845956,6.753692332,1.298344697,1.328468873,8.927443633,11.35322741,4.645981561,1.384064093,1.177944935,5.575056698,6.184895549,4.056282042,8.875483671,0.982089324,2.438749529,1.799901315,1.169983719,5.433778434,273.5191094,2822
GM0344,17704,13786,20446,14875,21201,9243,10549,5313,4955,22103,3788,3534,1900,1859,3415,913,450,460,181,494,115.127431,149.1677304,168.0199664,217.2922853,247.4611706,113.4549211,135.2611862,187.9957372,224.9462849,268.0254771,116.2372926,140.3347645,199.088829,237.1802721,282.9435882,117.4016177,137.312361,213.784121,286.8150056,278.7680535,11.88567316,8.574895914,13.51355694,9.361887958,13.44849558,6.135979578,6.537182602,3.312140547,3.088098961,13.34368192,2.574650829,2.184934341,1.200408696,1.188413582,2.07053309,0.589381093,0.275918569,0.293022678,0.105828893,0.315315065,205.8678749,9204
GM0345,1975,2674,4502,1658,191,1146,3696,2971,879,522,736,1904,1666,780,1475,217,702,287,142,274,126.2516422,148.5617066,226.9796795,242.2845386,262.6080002,122.6253828,160.5269229,193.5505855,235.1424882,276.7060164,117.666747,161.1799547,207.999463,256.02445,292.7575499,115.5203827,151.5675036,209.5737939,267.0195506,310.5805386,6.432993031,9.541214788,15.98674211,5.68806926,0.635855356,3.684479928,13.17532948,10.67102527,3.213020849,1.908770237,2.33995355,6.800884553,5.862281331,2.73678159,5.644035031,0.736823006,2.433586722,0.976881163,0.498443385,1.032829356,219.9138915,2699
GM0351,316,384,80,35,28,315,387,876,197,27,237,381,612,302,185,150,190,179,97,208,128.9040326,150.3895658,251.3064145,173.3027761,197.0935601,116.7194319,149.4651536,191.5980355,214.6343997,272.1565645,116.9896655,158.8865064,202.3788009,244.56786,289.8879962,109.8627095,152.7144966,228.3497907,291.5971846,267.4921609,5.909007699,7.751527681,1.477537961,0.769113676,0.429601301,5.930845931,7.327398375,16.82066185,3.859546839,0.490688655,4.404010275,7.564833184,12.00490888,5.832499269,3.52515824,2.961393588,3.529784563,3.442779853,1.981458893,3.987243289,264.0276659,611
GM0352,377,524,581,38,129,328,1621,2460,107,232,233,749,1238,231,296,130,251,222,116,260,117.1381646,148.7713972,148.2463575,222.5976563,282.4962769,112.2645324,163.6546626,194.4666772,239.9232331,302.1370918,113.587218,168.0177975,200.4612174,262.6180615,291.6487238,115.1880254,153.8934312,228.4752056,304.9591023,298.0873955,3.748946266,5.470297377,5.951183366,0.31865679,1.380162488,3.256376104,15.00657876,25.26134228,1.020732525,2.295683494,2.253938888,6.861037684,12.47437847,2.251996024,2.784394911,1.240680996,2.355939283,2.271991339,1.104167769,2.691515186,279.5209207,669
GM0353,572,1407,1809,329,222,138,4251,1399,350,168,132,1837,777,171,186,105,214,134,67,154,110.6157478,153.479587,146.2303366,208.3137261,244.5793253,117.0522369,144.9959704,200.3573353,277.8730444,296.4549592,116.5840689,154.3729026,203.5090199,288.9630512,279.8691818,119.165783,147.5313591,213.102266,268.3851017,292.2393595,4.085377094,9.111709407,12.16608239,2.009466004,1.54376579,1.030291615,29.57445732,10.07614055,2.630107315,1.120267432,0.948372516,12.91846291,5.607548688,1.318524806,1.237537436,0.665674893,1.507611041,0.928166779,0.497908816,1.022527204,221.3184946,1059
GM0355,1621,2445,5846,2473,681,762,945,2442,956,1517,632,712,1061,1057,4106,330,253,173,305,1020,110.418021,172.3770188,211.7329488,250.4608979,258.692673,112.440605,156.7867793,175.7893191,206.419,272.1412584,114.082218,158.6306909,191.1599237,234.1889979,294.1990229,113.921003,160.940424,219.4367278,274.5740818,308.4971178,5.109019781,8.265230332,19.74755601,8.785588695,2.274657986,2.42510532,3.265937965,8.18771883,3.251120241,5.311679416,1.991365462,2.475916544,3.629003224,3.742836327,14.36194759,1.094197092,0.879513021,0.654232194,1.065501609,3.481872364,272.2658153,2942
GM0356,1197,3355,6600,228,160,444,2604,8445,410,245,134,970,3439,254,291,87,200,179,55,90,108.2449355,133.7402836,195.6998294,266.7220925,246.1130062,110.7110926,132.7488885,194.5163995,214.2223685,243.251393,117.5005712,153.3696719,208.2864604,237.3433095,307.8945603,116.4381802,140.3514448,203.5579813,253.7463039,315.0689866,3.668243268,11.15350373,22.94828688,0.749958998,0.524226942,1.366695016,8.727468283,29.20714713,1.363482158,0.754853518,0.420716262,3.248049206,11.98240345,0.837148713,0.928710747,0.279120378,0.658512025,0.666079501,0.182274387,0.333119408,191.1563928,2491
GM0358,1093,932,451,211,81,1392,1065,1765,543,204,831,585,990,553,530,355,378,376,356,522,118.6535984,169.3983541,172.5730863,232.7759121,278.858867,114.5305672,158.9816535,171.9114473,226.096592,301.3611861,116.8422274,160.6547857,191.6685928,248.7267763,302.8725787,115.8088157,157.0476128,221.896742,284.8316397,300.9050852,9.066571077,7.116240105,3.596453248,1.704241321,0.689554481,10.93949054,7.487005782,13.07408668,4.525189954,1.694454122,6.591315975,4.204246355,7.35471749,4.322558688,3.799890045,2.819780614,2.695044173,2.664897184,2.283961681,3.370300483,226.7603757,1146
GM0361,2366,4116,7565,2376,1875,862,3805,9766,1653,4511,504,1828,4167,876,2039,305,743,623,347,1161,118.505765,141.4155065,192.6102854,230.0588505,248.8430135,115.0740246,154.857478,189.3116429,239.4058495,275.6508484,118.3135319,163.7630016,203.9639451,251.1803959,300.6225363,118.7860012,149.0290891,214.7656874,274.6869594,293.9061935,4.318525986,7.651878734,15.18459059,4.648821463,3.622623387,1.534539651,7.153724534,19.43819588,3.213624609,9.063582144,0.906496411,3.451979549,8.116182678,1.710706064,4.086858497,0.563975025,1.376863008,1.145497328,0.675723759,2.135610702,248.466232,6349
GM0362,3418,4589,8387,4899,106,1348,3874,3214,3458,1997,660,1423,1114,1321,1128,211,201,463,110,259,107.8032975,133.04204,203.3484564,244.3425131,218.7566599,112.7833614,166.8504504,188.8904247,233.8711166,269.068103,115.8865332,163.4576619,196.7663428,242.3653978,281.9904838,111.8011659,151.2927459,211.6426419,235.2422407,276.8403659,7.523072102,10.31338168,20.61246302,11.42691783,0.279979859,3.008944998,8.724815941,7.911007734,8.706894379,5.039389251,1.472731096,3.252324394,2.736481249,3.183622951,2.892104814,0.467558027,0.462555773,1.098726678,0.273227452,0.613800774,211.6660034,6294
GM0363,56557,59539,62538,38155,173375,6591,13735,4335,7282,9497,1879,3527,1348,2042,3342,638,484,347,354,651,116.5481252,153.7851734,192.7702225,210.454243,463.0321913,115.9917459,144.0260607,186.9549541,216.895178,252.3954785,117.0065248,157.1485553,201.9161881,241.1668748,258.8814925,115.9468676,170.0487175,214.7911646,260.9210496,286.1295513,13.7185082,13.68662592,14.27556925,8.189346867,37.20359713,1.585417693,3.329048344,1.151858894,1.547781371,1.951595451,0.456216376,0.856754164,0.348984609,0.440561227,0.696677482,0.158576772,0.109883536,0.071289083,0.077558629,0.144149,235.7377614,41037
GM0370,101,118,148,2,36,195,297,316,172,33,286,175,261,223,212,174,166,187,148,766,118.4855827,112.5706686,208.3270798,118,252.8996107,117.0087513,166.9001777,178.9544759,198.875939,278.8401244,117.2552894,169.0342107,194.5163906,223.7302065,310.677133,115.2747227,148.4758661,216.7020947,278.629964,296.3082789,2.73707958,2.800629141,3.994407639,0.057258154,0.932399155,5.032680362,7.251958121,7.582479386,4.065773795,0.847941789,7.446356227,4.369731344,6.148737747,5.322847656,5.483945792,4.404302305,4.044357593,4.707878557,3.691149135,19.07808652,215.1733224,
GM0373,546,878,1680,438,461,44,935,1893,665,274,83,683,1364,731,680,294,586,728,773,1586,116.4056644,138.9975864,210.1653937,184.2693856,241.5338776,116.273434,156.5092354,169.1128038,201.2159843,256.3698614,121.1470266,159.6748488,192.3713134,226.7854189,297.2803767,115.8147537,152.5240846,216.6399829,275.714311,317.9707537,3.432104941,5.801322853,11.04676781,2.796369584,3.027587756,0.310702072,6.142334422,12.27157718,4.469199182,1.692577467,0.602233598,4.474157375,8.915984618,4.653263586,4.399784488,2.157085384,3.859035873,4.787593244,5.002289768,10.1580288,288.570757,5024
GM0375,1328,2139,2007,2543,500,1175,1277,1160,1033,1514,405,567,517,530,1807,92,172,106,103,447,110.8794378,165.1279847,197.5498986,234.6949572,212.5619863,108.5498793,151.2775945,181.3431993,184.3540139,277.0723165,113.9353845,153.4735683,195.5041368,235.8237495,300.2684677,118.4760069,136.2342674,223.6648106,288.361049,308.5543328,6.392448182,11.10080387,10.24318166,13.6398216,2.490211772,6.063040476,6.654796541,5.923801456,5.329895635,7.758012041,2.27201809,2.822498847,2.635978232,2.781119309,9.181358726,0.468842159,0.827851348,0.55277383,0.57842758,2.283118647,272.9578886,2585
GM0376,286,44,289,0,20,260,16,989,19,21,456,25,756,295,352,212,133,132,234,487,112.3282061,152.4690407,155.3542049,0,270.6206579,112.53552,136.8289897,182.2500549,210.3303091,239.1940271,115.2572197,162.9494382,188.6854173,221.1894855,289.1019293,111.414516,160.6906908,215.8398094,274.8737832,288.5851391,5.364662533,0.985725093,5.656001788,0,0.443913869,5.05496113,0.340339081,19.65133402,0.394607155,0.43838988,8.735267445,0.498284239,15.43075092,6.041453443,6.874348182,4.093787098,2.617296529,2.666194059,4.535245861,10.17743768,286.3560333,322
GM0377,614,499,608,415,443,91,330,506,411,1312,114,323,443,599,1743,147,161,191,265,846,115.7850704,141.2501124,167.5327684,188.4721796,247.2825938,90.46031752,158.078598,180.6965115,239.4602696,273.4106332,113.6859501,161.0567117,204.6877973,256.8577468,301.6190432,107.8389572,171.5066686,205.0761753,270.8551471,317.8355927,5.858324637,4.924272514,6.183966971,3.988071207,4.37533258,1.029541228,3.545774376,5.226736297,4.058205371,12.64542365,1.231210954,3.235040312,4.463666803,5.983875127,17.39057928,1.424800833,1.643528015,1.869491693,2.652665588,8.269492564,317.6417874,1057
GM0383,787,1155,1226,193,144,271,1368,2445,1149,363,311,900,1716,858,722,281,609,624,374,584,110.3332083,130.8697815,194.6977942,120.2685964,182.6869466,115.8864203,140.2215302,180.6078264,224.4481173,269.5160243,116.5096026,150.0929404,199.2044415,234.1215747,279.6083968,118.9792612,148.5682389,211.2325467,256.1775039,297.1618347,5.472123512,6.997342429,7.234962618,1.229653841,1.013056777,2.094418814,8.263981691,14.29091834,7.142308091,2.136815183,2.525766855,5.508169974,10.24122165,5.447774246,4.516645588,2.141191685,3.847056691,3.79780115,2.325943729,3.772847131,265.6877286,2184
GM0384,2794,1692,3617,1065,104,471,1485,1491,375,185,185,663,492,166,79,59,36,20,20,20,115.9723991,147.9570558,180.5427043,257.8407433,245.9777867,115.8202905,150.5110345,194.8730614,172.4406607,240.0920446,118.1703243,159.8128187,196.0971171,183.8268988,270.6847702,118,182.1455949,243.502539,232.7020915,235.2257543,20.01618009,10.63326373,24.0381455,6.669831986,0.742232373,3.366091342,9.412865419,9.917664263,2.443629184,1.210657099,1.374047014,4.173627866,3.27166717,1.047336269,0.50422888,0.449667702,0.272322284,0.159210174,0.141351276,0.155980373,212.9869441,1757
GM0385,485,686,543,4,87,575,2136,3137,1159,652,369,976,1601,580,542,194,394,325,148,517,101.840656,138.6112243,164.1501705,118,247.2661081,113.9684532,156.8318451,185.4450667,236.025914,282.2139824,118.9855433,166.5441715,197.8876166,236.7203403,290.3233149,117.2252171,146.7115432,212.7386411,270.0082814,300.3230395,3.01021782,4.215427483,3.970639177,0.03136899,0.618926347,3.652335182,13.7049428,20.97118529,7.18394624,4.119288933,2.493576416,6.433173722,10.86028163,3.773059306,3.656381127,1.411879998,2.784987786,2.404427883,1.084278937,3.619674933,245.0964525,1646
GM0388,478,610,672,165,293,246,524,1572,247,904,253,395,708,184,874,108,252,86,21,255,130.2062511,135.8453214,191.5031186,183.7441663,204.0272803,117.5896219,149.429352,190.4082516,216.6435907,304.7877513,119.9907751,155.6150192,202.8327864,207.3276434,307.9763093,116.3928489,151.3338451,221.0987821,202.7992234,312.714542,5.518984224,6.190945052,8.370547594,1.99908037,3.246768919,2.675342293,6.265084772,18.26656014,2.495748415,9.98249857,2.946868185,4.81375954,7.999910884,1.774618966,9.568758092,1.262015214,2.831759772,0.919474858,0.21282679,2.658447348,300.1481301,801
GM0392,4771,5410,10193,5365,11372,1468,2890,2960,2191,21959,470,953,1039,811,4211,42,132,46,83,338,114.3111499,149.1429141,206.0953302,219.5795838,255.1329447,111.5078414,153.2280206,177.7939727,233.8147456,260.5798622,116.708324,158.9510516,198.7700916,248.5972085,287.4431124,113.3191268,135.155072,248.8681826,247.5412096,315.3860289,5.780192079,6.795048148,13.37512317,7.171611416,14.58215357,1.806810593,3.71748642,3.970037027,2.872398281,29.33009253,0.588822688,1.208299244,1.38124661,1.05234554,5.552523214,0.056107689,0.158102665,0.059536492,0.10112219,0.440940424,273.7754051,8580
GM0394,3626,6941,3814,1173,302,2590,13092,10345,1951,795,1506,5024,4126,1410,2570,804,1441,1022,518,1093,126.6562548,158.8702702,169.4927193,250.36172,282.5174371,116.8093399,147.0595536,193.2815562,237.9933296,288.2526484,119.961531,154.4809511,211.6049314,259.3314626,301.4891867,117.2718688,145.7073386,220.1767024,283.8705216,300.6111858,5.46532091,10.70778864,5.912748939,1.839242733,0.475147872,3.920004547,20.57420132,16.21977216,3.087816619,1.30130561,2.312889545,7.876830459,6.505879176,2.229967936,4.003345761,1.208425967,2.218668899,1.615974278,0.820988385,1.703680242,186.6830653,8613
