geo_id,has_merit_order,has_mountains,has_offshore_solar,has_solar_csp,has_weather_curves
GM0983,TRUE,FALSE,TRUE,FALSE,TRUE
GM0984,TRUE,FALSE,TRUE,FALSE,TRUE
GM0986,TRUE,FALSE,TRUE,FALSE,TRUE
GM0988,TRUE,FALSE,TRUE,FALSE,TRUE
GM0994,TRUE,FALSE,TRUE,FALSE,TRUE
GM0995,TRUE,FALSE,TRUE,FALSE,TRUE
GM1507,TRUE,FALSE,TRUE,FALSE,TRUE
GM1509,TRUE,FALSE,TRUE,FALSE,TRUE
GM1525,TRUE,FALSE,TRUE,FALSE,TRUE
GM1581,TRUE,FALSE,TRUE,FALSE,TRUE
GM1586,TRUE,FALSE,TRUE,FALSE,TRUE
GM1598,TRUE,FALSE,TRUE,FALSE,TRUE
GM1621,TRUE,FALSE,TRUE,FALSE,TRUE
GM1640,TRUE,FALSE,TRUE,FALSE,TRUE
GM1641,TRUE,FALSE,TRUE,FALSE,TRUE
GM1652,TRUE,FALSE,TRUE,FALSE,TRUE
GM1655,TRUE,FALSE,TRUE,FALSE,TRUE
GM1658,TRUE,FALSE,TRUE,FALSE,TRUE
GM1659,TRUE,FALSE,TRUE,FALSE,TRUE
GM1667,TRUE,FALSE,TRUE,FALSE,TRUE
GM1669,TRUE,FALSE,TRUE,FALSE,TRUE
GM1674,TRUE,FALSE,TRUE,FALSE,TRUE
GM1676,TRUE,FALSE,TRUE,FALSE,TRUE
GM1680,TRUE,FALSE,TRUE,FALSE,TRUE
GM1681,TRUE,FALSE,TRUE,FALSE,TRUE
GM1690,TRUE,FALSE,TRUE,FALSE,TRUE
GM1695,TRUE,FALSE,TRUE,FALSE,TRUE
GM1696,TRUE,FALSE,TRUE,FALSE,TRUE
GM1699,TRUE,FALSE,TRUE,FALSE,TRUE
GM1700,TRUE,FALSE,TRUE,FALSE,TRUE
GM1701,TRUE,FALSE,TRUE,FALSE,TRUE
GM1705,TRUE,FALSE,TRUE,FALSE,TRUE
GM1706,TRUE,FALSE,TRUE,FALSE,TRUE
GM1708,TRUE,FALSE,TRUE,FALSE,TRUE
GM1709,TRUE,FALSE,TRUE,FALSE,TRUE
GM1711,TRUE,FALSE,TRUE,FALSE,TRUE
GM1714,TRUE,FALSE,TRUE,FALSE,TRUE
GM1719,TRUE,FALSE,TRUE,FALSE,TRUE
GM1721,TRUE,FALSE,TRUE,FALSE,TRUE
GM1723,TRUE,FALSE,TRUE,FALSE,TRUE
GM1724,TRUE,FALSE,TRUE,FALSE,TRUE
GM1728,TRUE,FALSE,TRUE,FALSE,TRUE
GM1729,TRUE,FALSE,TRUE,FALSE,TRUE
GM1730,TRUE,FALSE,TRUE,FALSE,TRUE
GM1731,TRUE,FALSE,TRUE,FALSE,TRUE
GM1734,TRUE,FALSE,TRUE,FALSE,TRUE
GM1735,TRUE,FALSE,TRUE,FALSE,TRUE
